generation_project,period,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
Oahu_Battery_4,2020,Oahu,52.6271,210.508,52.6271,210.508
Oahu_Battery_4,2025,Oahu,26.5909,106.364,79.218,316.872
Oahu_Battery_4,2030,Oahu,0,0,79.218,316.872
Oahu_Battery_4,2035,Oahu,0,0,26.5909,106.364
Oahu_Battery_4,2040,Oahu,0,0,0,0
Oahu_Battery_4,2045,Oahu,0,0,0,0
Oahu_Battery_6,2020,Oahu,0,0,0,0
Oahu_Battery_6,2025,Oahu,64.5492,387.295,64.5492,387.295
Oahu_Battery_6,2030,Oahu,74.4576,446.745,139.007,834.041
Oahu_Battery_6,2035,Oahu,304.362,1826.17,443.368,2660.21
Oahu_Battery_6,2040,Oahu,355.188,2131.13,734.007,4404.04
Oahu_Battery_6,2045,Oahu,823.78,4942.68,1483.33,8899.98
Oahu_Battery_Conting,2020,Oahu,180,0,180,0
Oahu_Battery_Conting,2025,Oahu,0,0,180,0
Oahu_Battery_Conting,2030,Oahu,0,0,180,0
Oahu_Battery_Conting,2035,Oahu,113.194,0,113.194,0
Oahu_Battery_Conting,2040,Oahu,0,0,113.194,0
Oahu_Battery_Conting,2045,Oahu,0,0,113.194,0
Oahu_Battery_Reg,2020,Oahu,111.461,0,111.461,0
Oahu_Battery_Reg,2025,Oahu,0,0,111.461,0
Oahu_Battery_Reg,2030,Oahu,0,0,111.461,0
Oahu_Battery_Reg,2035,Oahu,0,0,0,0
Oahu_Battery_Reg,2040,Oahu,0,0,0,0
Oahu_Battery_Reg,2045,Oahu,0,0,0,0
