generation_project,period,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
Oahu_Battery_4,2020,Oahu,68.3921,273.568,68.3921,273.568
Oahu_Battery_4,2025,Oahu,0,0,68.3921,273.568
Oahu_Battery_4,2030,Oahu,0,0,68.3921,273.568
Oahu_Battery_4,2035,Oahu,0,0,0,0
Oahu_Battery_4,2040,Oahu,0,0,0,0
Oahu_Battery_4,2045,Oahu,0,0,0,0
Oahu_Battery_6,2020,Oahu,0,0,0,0
Oahu_Battery_6,2025,Oahu,47.6669,286.001,47.6669,286.001
Oahu_Battery_6,2030,Oahu,126.935,761.612,174.602,1047.61
Oahu_Battery_6,2035,Oahu,163.063,978.38,337.666,2025.99
Oahu_Battery_6,2040,Oahu,356.558,2139.35,646.557,3879.34
Oahu_Battery_6,2045,Oahu,951.715,5710.29,1471.34,8828.02
Oahu_Battery_Conting,2020,Oahu,53.1158,0,53.1158,0
Oahu_Battery_Conting,2025,Oahu,0,0,53.1158,0
Oahu_Battery_Conting,2030,Oahu,0,0,53.1158,0
Oahu_Battery_Conting,2035,Oahu,0,0,0,0
Oahu_Battery_Conting,2040,Oahu,0,0,0,0
Oahu_Battery_Conting,2045,Oahu,0,0,0,0
Oahu_Battery_Reg,2020,Oahu,234.863,0,234.863,0
Oahu_Battery_Reg,2025,Oahu,22.5069,0,257.37,0
Oahu_Battery_Reg,2030,Oahu,0,0,257.37,0
Oahu_Battery_Reg,2035,Oahu,260.482,0,282.988,0
Oahu_Battery_Reg,2040,Oahu,106.754,0,367.236,0
Oahu_Battery_Reg,2045,Oahu,354.573,0,721.809,0
